56	Can a entrepreneur hire a self-employed business owner?
90	Filing personal with 1099s versus business s-corp?
109	How to account for money earned and spent prior to establishing business bank accounts?
585	Following an investment guru a good idea?
659	Buying from an aggressive salesperson
672	Credit and Debit
699	Prepaid Rent (Accrual Based Accounting)
721	What are “upstream investments” and “downstream investments” in this context?
859	Any reason to keep around my account with my old, 'big' bank?
864	Why use accounting software like Quickbooks instead of Excel spreadsheets?
879	Capital improvement and depreciation in restaurant LLC
895	California tells me I didn't file documents for an LLC that isn't mine. What do I do?
939	How to correct a tax return filed electronically and already approved?
1198	What are the consequences of IRS “reclassification” on both employer and employee?
1230	How does Walmart account their expired food
1284	Tax consequences when foreign currency changes in value
1310	Is is possible to take a mortgage using Bitcoin as collateral?
1393	Which is better when working as a contractor, 1099 or incorporating?
1415	I am not VAT registered. Do I need to buy from my supplier with excl VAT prices or incl VAT?
1441	What's the difference between Market Cap and NAV?
1451	How do you find an ethical, honest independent insurance broker in Canada?
1469	Why do some companies report how well their EBITDA performed even if their overall net profit did equally well?
1530	What is the proper way to report additional income for taxes (specifically, Android development)?
1676	W2 vs 1099 Employee status
1736	How can people have such high credit card debts?
1826	Is the contribution towards Employment Insurance (EI) wasted if I never get fired, or are my premiums refunded?
1933	UK sole trader who often buys products/services on behalf of clients – do I deduct from declared income or claim as allowable expenses?
1948	Which colors can one use to fill out a check in the US?
2076	Can vet / veterinary bills be considered deductions (tax-deductible) for Income Tax purposes [Canada]?
2183	Why are there many small banks and more banks in the U.S.?
2264	Personal Tax Return software for Linux?
2296	How does a bank make money on an interest free secured loan?
2306	To whom should I report fraud on both of my credit cards?
2330	How can I determine if a debt consolidation offer is real or a scam?
2398	Frustrated Landlord
2416	Why should a company go public?
2443	What are some way to transfer money from Hong Kong to India on a monthly basis?
2486	Is working on a W2 basis, with benefits paid to me, a good idea?
2724	How do you determine the dividend payout date for Mutual Funds?
2737	What to do with an old building to get money
2856	How can I cash out a check internationally?
2891	May I claim money earned but not received in 2012
2903	How should I file my taxes as a contractor?
3014	What investments are positively related to the housing market decline?
3033	Tax consequences of changing state residency?
3186	United States Treasury Not Endorsing Checks
3254	Why do people buy US dollars on the black market?
3528	In the US, does getting a loan with a cosigner, help your credit rating?
3683	Can I trust the Motley Fool?
3694	Has anyone created a documentary about folks who fail to save enough for retirement?
3771	Best way to buy Japanese yen for travel?
3791	"When people say 'Interest rates are at all time low!"" … Which interest rate are they actually referring to?"
